Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Forgot Password,IE 11,,,2019-09-18 13:34:31,2019-09-18 13:35:35,1m - 3.534s,INCOMPLETE
,,,,,,,
Test Cases/Login and Logout - Notifications/Login,IE 11,,,2019-09-18 13:34:32,2019-09-18 13:34:56,23.725s,PASSED
"openBrowser("""")",IE 11,,,2019-09-18 13:34:33,2019-09-18 13:34:40,6.783s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-09-18 13:34:40,2019-09-18 13:34:42,1.638s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Username_Text""), ""satinder.gandhi@codeworldwide.com"")",IE 11,,,2019-09-18 13:34:42,2019-09-18 13:34:49,7.267s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Password_text""), ""yfq/9fVkW5+QvfzWq38qvg=="")",IE 11,,,2019-09-18 13:34:49,2019-09-18 13:34:50,1.457s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/button_Login""))",IE 11,,,2019-09-18 13:34:50,2019-09-18 13:34:53,3.130s,PASSED
maximizeWindow(),IE 11,,,2019-09-18 13:34:53,2019-09-18 13:34:54,0.099s,PASSED
,,,,,,,
Test Cases/Translation/Select Langauge - German,IE 11,,,2019-09-18 13:34:56,2019-09-18 13:35:14,18.435s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/span_gandhi""))",IE 11,,,2019-09-18 13:34:57,2019-09-18 13:35:01,4.688s,PASSED
"click(findTestObject(""Globalization/Page_Samsung Marketing Cloud/a_Globalisation Info""))",IE 11,,,2019-09-18 13:35:01,2019-09-18 13:35:03,1.931s,PASSED
"click(findTestObject(""Globalization/Page_Samsung Marketing Cloud/Culture _Dropdown""))",IE 11,,,2019-09-18 13:35:03,2019-09-18 13:35:05,2.168s,PASSED
delay(1),IE 11,,,2019-09-18 13:35:05,2019-09-18 13:35:06,1.041s,PASSED
"setText(findTestObject(""Globalization/Page_Samsung Marketing Cloud/Culture_ddText""), ""German"")",IE 11,,,2019-09-18 13:35:06,2019-09-18 13:35:08,1.235s,PASSED
"click(findTestObject(""Globalization/Page_Samsung Marketing Cloud/div_German (Germany)""))",IE 11,,,2019-09-18 13:35:08,2019-09-18 13:35:10,1.862s,PASSED
"click(findTestObject(""Globalization/Page_Samsung Marketing Cloud/Page_Base/button_Save""))",IE 11,,,2019-09-18 13:35:10,2019-09-18 13:35:12,2.528s,PASSED
,,,,,,,
Test Cases/Translation/Forgot Password - German,IE 11,,,2019-09-18 13:35:14,2019-09-18 13:35:35,20.756s,PASSED
"openBrowser("""")",IE 11,,,2019-09-18 13:35:15,2019-09-18 13:35:22,7.038s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-09-18 13:35:22,2019-09-18 13:35:24,1.649s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Forgot password""))",IE 11,,,2019-09-18 13:35:24,2019-09-18 13:35:31,7.308s,PASSED
"kms.turing.katalon.plugins.visualtesting.ScreenCapture.takeScreenshot(""c:\Adzu\Screenshot\ForgotPassword_actual.png"", CONTINUE_ON_FAILURE)",IE 11,,,2019-09-18 13:35:31,2019-09-18 13:35:32,0.906s,PASSED
"kms.turing.katalon.plugins.visualtesting.ImageComparison.areMatched(""C:\Adzu\Screenshot\ForgotPassword_expected.png"", ""C:\Adzu\Screenshot\ForgotPassword_actual.png"", CONTINUE_ON_FAILURE)",IE 11,,,2019-09-18 13:35:32,2019-09-18 13:35:32,0.232s,PASSED
closeBrowser(),IE 11,,,2019-09-18 13:35:32,2019-09-18 13:35:33,0.702s,PASSED
