Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit Profile,IE 11,,,2019-09-23 09:25:40,2019-09-23 09:27:11,1m - 30.374s,INCOMPLETE
,,,,,,,
Test Cases/Login and Logout - Notifications/Login,IE 11,,,2019-09-23 09:25:41,2019-09-23 09:26:11,30.204s,PASSED
"openBrowser("""")",IE 11,,,2019-09-23 09:25:42,2019-09-23 09:25:50,7.692s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-09-23 09:25:50,2019-09-23 09:25:54,4.391s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Username_Text""), ""satinder.gandhi@codeworldwide.com"")",IE 11,,,2019-09-23 09:25:54,2019-09-23 09:25:59,4.878s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Password_text""), ""yfq/9fVkW5+QvfzWq38qvg=="")",IE 11,,,2019-09-23 09:25:59,2019-09-23 09:26:03,4.048s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/button_Login""))",IE 11,,,2019-09-23 09:26:03,2019-09-23 09:26:08,4.722s,PASSED
maximizeWindow(),IE 11,,,2019-09-23 09:26:08,2019-09-23 09:26:09,1.268s,PASSED
,,,,,,,
Test Cases/Home Page/Edit Profile - Cancel,IE 11,,,2019-09-23 09:26:11,2019-09-23 09:26:33,21.895s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/span_gandhi""))",IE 11,,,2019-09-23 09:26:12,2019-09-23 09:26:16,4.049s,PASSED
"click(findTestObject(""Home Page/Profile/Page_Samsung Marketing Cloud/a_Profile""))",IE 11,,,2019-09-23 09:26:16,2019-09-23 09:26:20,4.518s,PASSED
"click(findTestObject(""Home Page/Profile Edit/Page_User Profile  Samsung/button_Edit""))",IE 11,,,2019-09-23 09:26:20,2019-09-23 09:26:24,3.747s,PASSED
"click(findTestObject(""Home Page/Profile Edit/Page_User Profile  Samsung/span_Gandhi""))",IE 11,,,2019-09-23 09:26:24,2019-09-23 09:26:27,3.293s,PASSED
"click(findTestObject(""Home Page/Profile Edit/Page_User Profile  Samsung/button_Cancel""))",IE 11,,,2019-09-23 09:26:27,2019-09-23 09:26:31,3.429s,PASSED
,,,,,,,
Test Cases/Home Page/Edit Profile - Yes,IE 11,,,2019-09-23 09:26:33,2019-09-23 09:26:56,22.880s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-09-23 09:26:33,2019-09-23 09:26:35,1.409s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/span_gandhi""))",IE 11,,,2019-09-23 09:26:35,2019-09-23 09:26:39,4.400s,PASSED
"click(findTestObject(""Home Page/Profile/Page_Samsung Marketing Cloud/a_Profile""))",IE 11,,,2019-09-23 09:26:39,2019-09-23 09:26:43,4.115s,PASSED
"click(findTestObject(""Home Page/Profile Edit/Page_User Profile  Samsung/button_Edit""))",IE 11,,,2019-09-23 09:26:43,2019-09-23 09:26:47,3.725s,PASSED
"click(findTestObject(""Home Page/Profile Edit/Page_User Profile  Samsung/span_Gandhi""))",IE 11,,,2019-09-23 09:26:47,2019-09-23 09:26:50,3.305s,PASSED
"click(findTestObject(""Home Page/Profile Edit/Page_User Profile  Samsung/button_Save""))",IE 11,,,2019-09-23 09:26:50,2019-09-23 09:26:54,3.363s,PASSED
,,,,,,,
Test Cases/Login and Logout - Notifications/Logout - Yes Button,IE 11,,,2019-09-23 09:26:56,2019-09-23 09:27:11,14.852s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/span_gandhi""))",IE 11,,,2019-09-23 09:26:56,2019-09-23 09:27:00,3.530s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/Logout""))",IE 11,,,2019-09-23 09:27:00,2019-09-23 09:27:03,3.404s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/button_Yes""))",IE 11,,,2019-09-23 09:27:03,2019-09-23 09:27:07,3.671s,PASSED
closeBrowser(),IE 11,,,2019-09-23 09:27:07,2019-09-23 09:27:09,1.542s,PASSED
