Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Product,IE 11,,,2019-10-08 08:50:03,2019-10-08 08:51:08,1m - 5.433s,INCOMPLETE
,,,,,,,
Test Cases/Login and Logout - Notifications/Login,IE 11,,,2019-10-08 08:50:03,2019-10-08 08:50:31,27.659s,PASSED
"openBrowser("""")",IE 11,,,2019-10-08 08:50:04,2019-10-08 08:50:11,7.229s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-08 08:50:11,2019-10-08 08:50:15,4.225s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Username_Text""), ""satinder.gandhi@codeworldwide.com"")",IE 11,,,2019-10-08 08:50:15,2019-10-08 08:50:20,5.030s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Password_text""), ""yfq/9fVkW5+QvfzWq38qvg=="")",IE 11,,,2019-10-08 08:50:20,2019-10-08 08:50:24,4.058s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/button_Login""))",IE 11,,,2019-10-08 08:50:24,2019-10-08 08:50:30,5.235s,PASSED
maximizeWindow(),IE 11,,,2019-10-08 08:50:30,2019-10-08 08:50:31,1.246s,PASSED
,,,,,,,
Test Cases/Home Page/Products,IE 11,,,2019-10-08 08:50:31,2019-10-08 08:50:55,23.933s,FAILED
"scrollToElement(findTestObject(""Home Page/Products/Page_Samsung Marketing Cloud/h3_Product Categories""), 0)",IE 11,,,2019-10-08 08:50:32,2019-10-08 08:50:37,5.245s,PASSED
"click(findTestObject(""Home Page/Products/Page_Samsung Marketing Cloud/li_Mobile""))",IE 11,,,2019-10-08 08:50:37,2019-10-08 08:50:40,3.488s,PASSED
delay(1),IE 11,,,2019-10-08 08:50:40,2019-10-08 08:50:42,1.030s,PASSED
"mouseOver(findTestObject(""Home Page/Products/Page_Samsung Marketing Cloud/span_Mobile""), CONTINUE_ON_FAILURE)",IE 11,,,2019-10-08 08:50:42,2019-10-08 08:50:45,3.866s,PASSED
"click(findTestObject(""Home Page/Products/Page_Samsung Marketing Cloud/span_Mobile""), CONTINUE_ON_FAILURE)",IE 11,,,2019-10-08 08:50:45,2019-10-08 08:50:49,3.227s,PASSED
delay(1),IE 11,,,2019-10-08 08:50:49,2019-10-08 08:50:50,1.006s,PASSED
"click(findTestObject(""Home Page/Products/Page_Samsung Marketing Cloud/a_Tablet""), CONTINUE_ON_FAILURE)",IE 11,,,2019-10-08 08:50:50,2019-10-08 08:50:54,4.121s,FAILED
url = getUrl(STOP_ON_FAILURE),IE 11,,,2019-10-08 08:50:54,2019-10-08 08:50:55,1.159s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?ProductId=3c94d341-7b69-f55b-d7b1-39e99ee8a4a8&ProductText=Tablet"", false)",IE 11,,,2019-10-08 08:50:55,2019-10-08 08:50:55,0.025s,FAILED
,,,,,,,
Test Cases/Login and Logout - Notifications/Logout - Yes Button,IE 11,,,2019-10-08 08:50:55,2019-10-08 08:51:08,13.187s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/span_gandhi""))",IE 11,,,2019-10-08 08:50:55,2019-10-08 08:50:59,3.661s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/Logout""))",IE 11,,,2019-10-08 08:50:59,2019-10-08 08:51:03,3.443s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/button_Yes""))",IE 11,,,2019-10-08 08:51:03,2019-10-08 08:51:06,3.832s,PASSED
closeBrowser(),IE 11,,,2019-10-08 08:51:06,2019-10-08 08:51:08,1.698s,PASSED
