Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User sets password expire date within the 24 hours,IE 11,,,2019-10-08 13:01:16,2019-10-08 13:04:50,3m - 34.208s,INCOMPLETE
,,,,,,,
Test Cases/Login and Logout - Notifications/Login,IE 11,,,2019-10-08 13:01:16,2019-10-08 13:01:43,26.961s,PASSED
"openBrowser("""")",IE 11,,,2019-10-08 13:01:17,2019-10-08 13:01:24,6.944s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-08 13:01:24,2019-10-08 13:01:28,3.888s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Username_Text""), ""satinder.gandhi@codeworldwide.com"")",IE 11,,,2019-10-08 13:01:28,2019-10-08 13:01:33,5.288s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Password_text""), ""yfq/9fVkW5+QvfzWq38qvg=="")",IE 11,,,2019-10-08 13:01:33,2019-10-08 13:01:37,4.157s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/button_Login""))",IE 11,,,2019-10-08 13:01:37,2019-10-08 13:01:42,4.966s,PASSED
maximizeWindow(),IE 11,,,2019-10-08 13:01:42,2019-10-08 13:01:43,1.127s,PASSED
,,,,,,,
Test Cases/User/Open User Screen,IE 11,,,2019-10-08 13:01:43,2019-10-08 13:01:54,10.336s,PASSED
"click(findTestObject(""User/Edit User/Page_Samsung Marketing Cloud/a_Admin""))",IE 11,,,2019-10-08 13:01:44,2019-10-08 13:01:50,5.675s,PASSED
"click(findTestObject(""User/Edit User/Page_Samsung Marketing Cloud/a_User Manager""))",IE 11,,,2019-10-08 13:01:50,2019-10-08 13:01:54,4.152s,PASSED
,,,,,,,
Test Cases/User/Search User,IE 11,test1,,2019-10-08 13:01:54,2019-10-08 13:02:09,15.689s,PASSED
"click(findTestObject(""User/Edit User/Page_Users  Samsung/Filter_Toggle""))",IE 11,,,2019-10-08 13:01:54,2019-10-08 13:02:02,7.433s,PASSED
"setText(findTestObject(""User/Edit User/Page_Users  Samsung/Text_SearchText""), ""satinder"")",IE 11,,,2019-10-08 13:02:02,2019-10-08 13:02:06,3.980s,PASSED
"click(findTestObject(""User/Edit User/Page_Users  Samsung/button_Hide""))",IE 11,,,2019-10-08 13:02:06,2019-10-08 13:02:09,3.849s,PASSED
,,,,,,,
Test Cases/User/Edit User,IE 11,test1,,2019-10-08 13:02:09,2019-10-08 13:03:08,59.025s,FAILED
"click(findTestObject(""User/Edit User/Page_Users  Samsung/Menu_Action""))",IE 11,,,2019-10-08 13:02:10,2019-10-08 13:02:13,3.371s,PASSED
"click(findTestObject(""User/Edit User/Page_Users  Samsung/a_Edit""))",IE 11,,,2019-10-08 13:02:13,2019-10-08 13:02:18,4.983s,PASSED
"click(findTestObject(""User/Edit User/Page_Users  Samsung/Checkbox_PasswordExpires""))",IE 11,,,2019-10-08 13:02:18,2019-10-08 13:02:22,3.840s,PASSED
