Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Campaign,Chrome 77.0.3865.90,Campaign,,2019-10-09 10:26:47,2019-10-09 10:27:23,35.868s,INCOMPLETE
,,,,,,,
Test Cases/Login and Logout - Notifications/Login,Chrome 77.0.3865.90,,,2019-10-09 10:26:47,2019-10-09 10:27:06,18.497s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2019-10-09 10:26:47,2019-10-09 10:26:53,5.250s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",Chrome 77.0.3865.90,,,2019-10-09 10:26:53,2019-10-09 10:26:54,1.514s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Username_Text""), ""satinder.gandhi@codeworldwide.com"")",Chrome 77.0.3865.90,,,2019-10-09 10:26:54,2019-10-09 10:26:57,3.440s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Password_text""), ""yfq/9fVkW5+QvfzWq38qvg=="")",Chrome 77.0.3865.90,,,2019-10-09 10:26:57,2019-10-09 10:27:01,3.198s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/button_Login""))",Chrome 77.0.3865.90,,,2019-10-09 10:27:01,2019-10-09 10:27:03,2.691s,PASSED
maximizeWindow(),Chrome 77.0.3865.90,,,2019-10-09 10:27:03,2019-10-09 10:27:06,2.181s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/S10 Campaign,Chrome 77.0.3865.90,,,2019-10-09 10:27:06,2019-10-09 10:27:10,4.511s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",Chrome 77.0.3865.90,,,2019-10-09 10:27:06,2019-10-09 10:27:07,1.021s,PASSED
waitForPageLoad(1),Chrome 77.0.3865.90,,,2019-10-09 10:27:07,2019-10-09 10:27:08,1.099s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_S10""))",Chrome 77.0.3865.90,,,2019-10-09 10:27:08,2019-10-09 10:27:10,2.189s,PASSED
,,,,,,,
Test Cases/Home Page/Campaigns/QLED 2019 Campaign,Chrome 77.0.3865.90,,,2019-10-09 10:27:10,2019-10-09 10:27:14,4.362s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",Chrome 77.0.3865.90,,,2019-10-09 10:27:10,2019-10-09 10:27:11,1.030s,PASSED
waitForPageLoad(1),Chrome 77.0.3865.90,,,2019-10-09 10:27:11,2019-10-09 10:27:12,1.019s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/a_QLED 2019""))",Chrome 77.0.3865.90,,,2019-10-09 10:27:12,2019-10-09 10:27:14,2.148s,PASSED
,,,,,,,
Test Cases/Login and Logout - Notifications/Logout - Yes Button,Chrome 77.0.3865.90,,,2019-10-09 10:27:14,2019-10-09 10:27:23,8.288s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/span_gandhi""))",Chrome 77.0.3865.90,,,2019-10-09 10:27:15,2019-10-09 10:27:17,2.141s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/Logout""))",Chrome 77.0.3865.90,,,2019-10-09 10:27:17,2019-10-09 10:27:19,2.183s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/button_Yes""))",Chrome 77.0.3865.90,,,2019-10-09 10:27:19,2019-10-09 10:27:21,2.119s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2019-10-09 10:27:21,2019-10-09 10:27:23,1.679s,PASSED
