Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add Multiple Assets,IE 11,,,2019-10-11 12:33:04,2019-10-11 12:34:28,1m - 24.013s,INCOMPLETE
,,,,,,,
Test Cases/Login and Logout - Notifications/Login,IE 11,,,2019-10-11 12:33:04,2019-10-11 12:33:27,23.149s,PASSED
"openBrowser("""")",IE 11,,,2019-10-11 12:33:05,2019-10-11 12:33:10,5.239s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#"")",IE 11,,,2019-10-11 12:33:10,2019-10-11 12:33:12,1.787s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Username_Text""), ""satinder.gandhi@codeworldwide.com"")",IE 11,,,2019-10-11 12:33:12,2019-10-11 12:33:18,6.180s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/Password_text""), ""yfq/9fVkW5+QvfzWq38qvg=="")",IE 11,,,2019-10-11 12:33:18,2019-10-11 12:33:22,3.749s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Samsung Marketing Cloud/button_Login""))",IE 11,,,2019-10-11 12:33:22,2019-10-11 12:33:26,4.332s,PASSED
maximizeWindow(),IE 11,,,2019-10-11 12:33:26,2019-10-11 12:33:27,1.432s,PASSED
,,,,,,,
Test Cases/Assets/Open Assets Page,IE 11,,,2019-10-11 12:33:27,2019-10-11 12:33:34,6.538s,PASSED
"click(findTestObject(""Assets/Add Asset/a_Assets""))",IE 11,,,2019-10-11 12:33:28,2019-10-11 12:33:33,5.091s,PASSED
delay(1),IE 11,,,2019-10-11 12:33:33,2019-10-11 12:33:34,1.028s,PASSED
,,,,,,,
Test Cases/Assets/Add Multiple Assets,IE 11,,,2019-10-11 12:33:34,2019-10-11 12:34:15,40.879s,PASSED
"click(findTestObject(""Assets/Add Asset/button_Add Assets""))",IE 11,,,2019-10-11 12:33:34,2019-10-11 12:33:38,3.255s,PASSED
"click(findTestObject(""Assets/Add Multiple Assets/Page_Samsung Marketing Cloud/a_Multiple""))",IE 11,,,2019-10-11 12:33:38,2019-10-11 12:33:42,3.992s,PASSED
waitForPageLoad(1),IE 11,,,2019-10-11 12:33:42,2019-10-11 12:33:43,1.203s,PASSED
"click(findTestObject(""Assets/Add Multiple Assets/Page_Samsung Marketing Cloud/a_Please Select""))",IE 11,,,2019-10-11 12:33:43,2019-10-11 12:33:46,3.380s,PASSED
"click(findTestObject(""Assets/Add Asset/div_Image (1)""))",IE 11,,,2019-10-11 12:33:46,2019-10-11 12:33:49,3.243s,PASSED
delay(1),IE 11,,,2019-10-11 12:33:49,2019-10-11 12:33:50,1.004s,PASSED
"com.kms.katalon.keyword.uploadfile.UploadFile.uploadFile(findTestObject(""Assets/Upload Assets/Upload_Asset_Image""), ""C:\Adzu\Asset\sam.jpeg"")",IE 11,,,2019-10-11 12:33:50,2019-10-11 12:33:53,2.349s,PASSED
delay(1),IE 11,,,2019-10-11 12:33:53,2019-10-11 12:33:54,1.003s,PASSED
"click(findTestObject(""Assets/Add Multiple Assets/Page_Samsung Marketing Cloud/a_Please Select Asset Group""))",IE 11,,,2019-10-11 12:33:54,2019-10-11 12:33:57,3.336s,PASSED
delay(1),IE 11,,,2019-10-11 12:33:57,2019-10-11 12:33:58,1.002s,PASSED
"scrollToElement(findTestObject(""Assets/Add Multiple Assets/Page_Samsung Marketing Cloud/div_Code assets""), 0)",IE 11,,,2019-10-11 12:33:58,2019-10-11 12:34:00,2.338s,PASSED
"click(findTestObject(""Assets/Add Multiple Assets/Page_Samsung Marketing Cloud/div_Code assets""))",IE 11,,,2019-10-11 12:34:00,2019-10-11 12:34:04,3.327s,PASSED
delay(1),IE 11,,,2019-10-11 12:34:04,2019-10-11 12:34:05,1.002s,PASSED
"com.kms.katalon.keyword.uploadfile.UploadFile.uploadFile(findTestObject(""Assets/Upload Assets/Import Spreadsheet""), ""C:\Adzu\Asset\Kiritest1.xlsx"")",IE 11,,,2019-10-11 12:34:05,2019-10-11 12:34:08,3.495s,PASSED
delay(1),IE 11,,,2019-10-11 12:34:08,2019-10-11 12:34:09,1.003s,PASSED
"verifyElementText(findTestObject(""Assets/Add Multiple Assets/Page_Samsung Marketing Cloud/h4_Success""), ""Success!"")",IE 11,,,2019-10-11 12:34:09,2019-10-11 12:34:12,2.349s,PASSED
"click(findTestObject(""Assets/Add Multiple Assets/Page_Samsung Marketing Cloud/button_Ok""))",IE 11,,,2019-10-11 12:34:12,2019-10-11 12:34:15,3.228s,PASSED
,,,,,,,
Test Cases/Login and Logout - Notifications/Logout - Yes Button,IE 11,,,2019-10-11 12:34:15,2019-10-11 12:34:28,13.096s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/span_gandhi""))",IE 11,,,2019-10-11 12:34:15,2019-10-11 12:34:19,4.284s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/Logout""))",IE 11,,,2019-10-11 12:34:19,2019-10-11 12:34:23,3.283s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/button_Yes""))",IE 11,,,2019-10-11 12:34:23,2019-10-11 12:34:26,3.572s,PASSED
closeBrowser(),IE 11,,,2019-10-11 12:34:26,2019-10-11 12:34:28,1.662s,PASSED
